command_name	command_description	type	parameters	parameter_type	returns	return_type
Glib.utf8_collate_key()	Converts a string into a collation key that can be compared with other collation keys produced by the same function using strcmp().	function	str, len	str, int	a newly allocated string. This string should be freed with free() when you are done with it.	str
Glib.utf8_collate_key_for_filename()	Converts a string into a collation key that can be compared with other collation keys produced by the same function using strcmp().	function	str, len	str, int	a newly allocated string. This string should be freed with free() when you are done with it.	str
Glib.utf8_find_next_char()	Finds the start of the next UTF-8 character in the string after p.	function	p, end	str, str | None	a pointer to the found character or None if end is set and is reached	str | None
Glib.utf8_find_prev_char()	Given a position p with a UTF-8 encoded string str, find the start of the previous UTF-8 character starting before p. Returns None if no UTF-8 characters are present in str before p.	function	str, p	str, str	a pointer to the found character or None.	str | None
Glib.utf8_get_char()	Converts a sequence of bytes encoded as UTF-8 to a Unicode character.	function	p	str	the resulting character	str
Glib.utf8_get_char_validated()	Convert a sequence of bytes encoded as UTF-8 to a Unicode character. This function checks for incomplete characters, for invalid characters such as characters that are out of the range of Unicode, and for overlong encodings of valid characters.	function	p, max_len	str, int	the resulting character. If p points to a partial sequence at the end of a string that could begin a valid character (or if max_len is zero), returns (gunichar)-2; otherwise, if p does not point to a valid UTF-8 encoded Unicode character, returns (gunichar)-1.	str
Glib.utf8_make_valid()	If the provided string is valid UTF-8, return a copy of it. If not, return a copy in which bytes that could not be interpreted as valid Unicode are replaced with the Unicode replacement character (U+FFFD).	function	str, len	str, int	a valid UTF-8 string whose content resembles str	str
Glib.utf8_normalize()	Converts a string into canonical form, standardizing such issues as whether a character with an accent is represented as a base character and combining accent or as a single precomposed character. The string has to be valid UTF-8, otherwise None is returned. You should generally call utf8_normalize() before comparing two Unicode strings.	function	str, len, mode	str, int, NormalizeMode	a newly allocated string, that is the normalized form of str, or None if str is not valid UTF-8.	str | None
Glib.utf8_offset_to_pointer()	Converts from an integer character offset to a pointer to a position within the string.	function	str, offset	str, int	the resulting pointer	str
Glib.utf8_pointer_to_offset()	Converts from a pointer to position within a string to an integer character offset.	function	str, pos	str, str	the resulting character offset	int
Glib.utf8_prev_char()	Finds the previous UTF-8 character in the string before p.	function	p	str	a pointer to the found character	str
Glib.utf8_strchr()	Finds the leftmost occurrence of the given Unicode character in a UTF-8 encoded string, while limiting the search to len bytes. If len is -1, allow unbounded search.	function	p, len, c	str, int, str	None if the string does not contain the character, otherwise, a pointer to the start of the leftmost occurrence of the character in the string.	str | None
Glib.utf8_strdown()	Converts all Unicode characters in the string that have a case to lowercase. The exact manner that this is done depends on the current locale, and may result in the number of characters in the string changing.	function	str, len	str, int	a newly allocated string, with all characters converted to lowercase.	str
Glib.utf8_strlen()	Computes the length of the string in characters, not including the terminating nul character. If the max'th byte falls in the middle of a character, the last (partial) character is not counted.	function	p, max	str, int	the length of the string in characters	int
Glib.utf8_strncpy()	Like the standard C strncpy() function, but copies a given number of characters instead of a given number of bytes. The src string must be valid UTF-8 encoded text. (Use utf8_validate() on all text before trying to use UTF-8 utility functions with it.)	function	dest, src, n	str, str, int	dest	str
Glib.utf8_strrchr()	Find the rightmost occurrence of the given Unicode character in a UTF-8 encoded string, while limiting the search to len bytes. If len is -1, allow unbounded search.	function	p, len, c	str, int, str	None if the string does not contain the character, otherwise, a pointer to the start of the rightmost occurrence of the character in the string.	str | None
Glib.utf8_strreverse()	Reverses a UTF-8 string. str must be valid UTF-8 encoded text. (Use utf8_validate() on all text before trying to use UTF-8 utility functions with it.)	function	str, len	str, int	a newly-allocated string which is the reverse of str	str
Glib.utf8_strup()	Converts all Unicode characters in the string that have a case to uppercase. The exact manner that this is done depends on the current locale, and may result in the number of characters in the string increasing. (For instance, the German ess-zet will be changed to SS.)	function	str, len	str, int	a newly allocated string, with all characters converted to uppercase.	str
Glib.utf8_substring()	Copies a substring out of a UTF-8 encoded string. The substring will contain end_pos - start_pos characters.	function	str, start_pos, end_pos	str, int, int	a newly allocated copy of the requested substring. Free with free() when no longer needed.	str
Glib.utf8_to_ucs4()	Convert a string from UTF-8 to a 32-bit fixed width representation as UCS-4. A trailing 0 character will be added to the string after the converted text.	function	str, len	str, int	a pointer to a newly allocated UCS-4 string. This value must be freed with free(). If an error occurs, None will be returned and error set.	tuple[str, int, int]
Glib.utf8_to_ucs4_fast()	Convert a string from UTF-8 to a 32-bit fixed width representation as UCS-4, assuming valid UTF-8 input. This function is roughly twice as fast as utf8_to_ucs4() but does no error checking on the input. A trailing 0 character will be added to the string after the converted text.	function	str, len	str, int	a pointer to a newly allocated UCS-4 string. This value must be freed with free().	tuple[str, int]
Glib.utf8_to_utf16()	Convert a string from UTF-8 to UTF-16. A 0 character will be added to the result after the converted text.	function	str, len	str, int	a pointer to a newly allocated UTF-16 string. This value must be freed with free(). If an error occurs, None will be returned and error set.	tuple[int, int, int]
Glib.utf8_truncate_middle()	Cuts off the middle of the string, preserving half of truncate_length characters at the beginning and half at the end.	function	string, truncate_length	str, int	a newly-allocated copy of string ellipsized in the middle	str
Glib.utf8_validate()	Validates UTF-8 encoded text. str is the text to validate; if str is nul-terminated, then max_len can be -1, otherwise max_len should be the number of bytes to validate. If end is non-None, then the end of the valid range will be stored there (i.e. the start of the first invalid character if some bytes were invalid, or the end of the text being validated otherwise).	function	str	list[int]	True if the text was valid UTF-8	tuple[bool, str]
Glib.utf8_validate_len()	Validates UTF-8 encoded text.	function	str	list[int]	True if the text was valid UTF-8	tuple[bool, str]
Glib.utime()	A wrapper for the POSIX utime() function. The utime() function sets the access and modification timestamps of a file.	function	filename, utb	str, Any	0 if the operation was successful, -1 if an error occurred	int
Glib.uuid_string_is_valid()	Parses the string str and verify if it is a UUID.	function	str	str	True if str is a valid UUID, False otherwise.	bool
Glib.uuid_string_random()	Generates a random UUID (RFC 4122 version 4) as a string. It has the same randomness guarantees as Rand, so must not be used for cryptographic purposes such as key generation, nonces, salts or one-time pads.	function	None		A string that should be freed with free().	str
Glib.variant_get_gtype()		function	None			GType
Glib.variant_is_object_path()	string	function	string	str		bool
Glib.variant_is_signature()	string	function	string	str		bool
Glib.variant_parse()	type	function	type, text, limit, endptr	VariantType | None, str, str | None, str | None		Variant
Glib.variant_parse_error_print_context()	error	function	error, source_str	GError, str		str
Glib.variant_parse_error_quark()		function	None			int
Glib.variant_parser_get_error_quark()		function	None			int
Glib.variant_type_checked_()	type_string	function	type_string	str		VariantType
Glib.variant_type_string_get_depth_()	type_string	function	type_string	str		int
Glib.variant_type_string_is_valid()	type_string	function	type_string	str		bool
Glib.variant_type_string_scan()	string	function	string, limit	str, str | None		tuple[bool, str]
